CCLE.sampleid	CCLE.name	CCLE.depMapID	CCLE.site_Primary	CCLE.site_Subtype1	CCLE.site_Subtype2	CCLE.site_Subtype3	CCLE.histology	CCLE.histology_Subtype1	CCLE.histology_Subtype2	CCLE.histology_Subtype3	CCLE.gender	CCLE.age	CCLE.race	CCLE.disease	CCLE.type
NCIH1963_LUNG	NCI-H1963	ACH-000729	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	56	african_american		lung_small_cell
RL952_ENDOMETRIUM	RL95-2	ACH-000965	endometrium	NS	NS	NS	carcinoma	mixed_adenosquamous_carcinoma	NS	NS	female	65	caucasian		endometrium
J82_URINARY_TRACT	J82	ACH-000396	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS	male	58	caucasian		urinary_tract
HCC15_LUNG	HCC-15	ACH-000878	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	47	african_american	lung_cancer	lung_NSC
M059K_CENTRAL_NERVOUS_SYSTEM	M059K	ACH-000152	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	33			glioma
CALU6_LUNG	Calu-6	ACH-000264	lung	NS	NS	NS	carcinoma	undifferentiated_carcinoma	NS	NS	female	61	caucasian	lung_cancer	lung_NSC
SKLU1_LUNG	SK-LU-1	ACH-000309	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	60	caucasian		lung_NSC
SW900_LUNG	SW 900	ACH-000669	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	53	caucasian		lung_NSC
UACC62_SKIN	UACC-62	ACH-000425	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS				melanoma	melanoma
MFE280_ENDOMETRIUM	MFE-280	ACH-000192	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	77		recurrent_endometrial_carcinoma	endometrium
MFE319_ENDOMETRIUM	MFE-319	ACH-000988	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	81		Endometrial Cancer	endometrium
MFE296_ENDOMETRIUM	MFE-296	ACH-000879	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	68	caucasian		endometrium
GOS3_CENTRAL_NERVOUS_SYSTEM	GOS-3	ACH-000027	central_nervous_system	brain	NS	NS	glioma	astrocytoma	NS	NS	male	55		Brain Cancer	glioma
GI1_CENTRAL_NERVOUS_SYSTEM	GI-1	ACH-000756	central_nervous_system	brain	NS	NS	glioma	gliosarcoma	NS	NS	male	61	asian		glioma
PC14_LUNG	PC-14	ACH-000030	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS			asian	lung_cancer	lung_NSC
KYSE410_OESOPHAGUS	KYSE-410	ACH-000809	oesophagus	upper_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	51	asian		esophagus
A204_SOFT_TISSUE	A-204	ACH-000201	soft_tissue	striated_muscle	NS	NS	rhabdoid_tumour	NS	NS	NS	female	1			soft_tissue
PATU8902_PANCREAS	PA-TU-8902	ACH-000599	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	44			pancreas
NCIH810_LUNG	NCI-H810	ACH-000789	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male	51	african_american		lung_NSC
RERFLCMS_LUNG	RERF-LC-MS	ACH-000062	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS			asian	lung_cancer	lung_NSC
L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	L-1236	ACH-000702	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS	male	34		lymphoma	lymphoma_Hodgkin
DANG_PANCREAS	DAN-G	ACH-000243	pancreas	NS	NS	NS	carcinoma	NS	NS	NS				Pancreatic Cancer	pancreas
NCIH460_LUNG	NCI-H460	ACH-000463	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male			large_cell_lung_cancer	lung_NSC
KYSE140_OESOPHAGUS	KYSE-140	ACH-000823	oesophagus	middle_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	54	asian		esophagus
KYSE180_OESOPHAGUS	KYSE-180	ACH-000693	oesophagus	middle_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	53	asian		esophagus
HUPT3_PANCREAS	HUP-T3	ACH-000118	pancreas	NS	NS	NS	carcinoma	NS	NS	NS	male	66	asian		pancreas
EFE184_ENDOMETRIUM	EFE-184	ACH-000435	endometrium	NS	NS	NS	carcinoma	NS	NS	NS	female	69	caucasian		endometrium
GCIY_STOMACH	GCIY	ACH-000047	stomach	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		asian		stomach
SH10TC_STOMACH	SH-10-TC	ACH-000764	stomach	NS	NS	NS	carcinoma	NS	NS	NS					stomach
CAOV4_OVARY	Caov-4	ACH-000103	ovary	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	45	caucasian		ovary
HCC2218_BREAST	HCC2218	ACH-000755	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	38	caucasian		breast
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-21BM	ACH-000598	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male	62	asian		multiple_myeloma
KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-26	ACH-000588	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male	50	asian	multiple_myeloma	multiple_myeloma
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-27	ACH-000576	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	male	52	asian	multiple_myeloma	multiple_myeloma
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52	ACH-000498	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M2	NS	male	46			AML
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KMS-28BM	ACH-000419	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	plasma_cell_myeloma	NS	NS	female	77	asian		multiple_myeloma
