CCLE.sampleid	CCLE.name	CCLE.depMapID	CCLE.site_Primary	CCLE.site_Subtype1	CCLE.site_Subtype2	CCLE.site_Subtype3	CCLE.histology	CCLE.histology_Subtype1	CCLE.histology_Subtype2	CCLE.histology_Subtype3	CCLE.gender	CCLE.age	CCLE.race	CCLE.disease	CCLE.type
NCIH358_LUNG	NCI-H358	ACH-000860	lung	NS	NS	NS	carcinoma	bronchioloalveolar_adenocarcinoma	NS	NS	male			bronchioalveolar_carcinoma; non-small_cell lung_cancer	lung_NSC
CFPAC1_PANCREAS	CFPAC-1	ACH-000138	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	26	caucasian		pancreas
NIHOVCAR3_OVARY	NIH:OVCAR-3	ACH-000001	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female	60	caucasian	ovarian_cancer	ovary
NCIH1650_LUNG	NCI-H1650	ACH-000035	lung	NS	NS	NS	carcinoma	bronchioloalveolar_adenocarcinoma	NS	NS	male	27	caucasian	lung_cancer	lung_NSC
NCIH1793_LUNG	NCI-H1793	ACH-000888	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	female	52			lung_NSC
NCIH1437_LUNG	NCI-H1437	ACH-000589	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	6	caucasian	lung_cancer	lung_NSC
KNS62_LUNG	KNS-62	ACH-000858	lung	bronchus	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	49			lung_NSC
HS578T_BREAST	Hs 578T	ACH-000148	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	74	caucasian	breast_cancer	breast
BT20_BREAST	BT-20	ACH-000536	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	74	caucasian	breast_cancer	breast
SNU182_LIVER	SNU-182	ACH-000483	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	24	asian	hepatocellular_cancer	liver
SKNMC_BONE	SK-N-MC	ACH-000039	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	female	14	caucasian	neuroepithelioma	Ewings_Sarcoma
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HH	ACH-000061	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	adult_T_cell_lymphoma-leukaemia	NS	NS	male	61	caucasian	cutaneous T cell lymphoma	T-cell_ALL
FADU_UPPER_AERODIGESTIVE_TRACT	FaDu	ACH-000846	upper_aerodigestive_tract	pharynx	hypopharynx	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	56	caucasian		upper_aerodigestive
SJRH30_SOFT_TISSUE	SJRH30	ACH-001189	soft_tissue	striated_muscle	NS	NS	rhabdomyosarcoma	NS	NS	NS	male	17	caucasian		soft_tissue
MDAMB361_BREAST	MDA-MB-361	ACH-000934	breast	NS	NS	NS	carcinoma	NS	NS	NS	female	40	caucasian	breast_cancer	breast
MDAMB436_BREAST	MDA-MB-436	ACH-000573	breast	NS	NS	NS	carcinoma	NS	NS	NS	female	43	caucasian	breast_cancer	breast
PANC0213_PANCREAS	Panc 02.13	ACH-000031	pancreas	NS	NS	NS	carcinoma	NS	NS	NS	female	64	caucasian		pancreas
DB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DB	ACH-000334	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	male	45	caucasian	germinal center B-cell-like (GCB) DLBCL	lymphoma_DLBCL
RDES_BONE	RD-ES	ACH-000041	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	male	19	caucasian	Ewing family tumor	Ewings_Sarcoma
CAL27_UPPER_AERODIGESTIVE_TRACT	CAL 27	ACH-000832	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	56	caucasian		upper_aerodigestive
MESSA_SOFT_TISSUE	MES-SA	ACH-000449	soft_tissue	fibrous_tissue_and_uncertain_origin	uterus	NS	sarcoma	NS	NS	NS	female	56	caucasian		soft_tissue
SW1271_LUNG	SW 1271	ACH-000890	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	69	caucasian		lung_small_cell
NCIH1792_LUNG	NCI-H1792	ACH-000496	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	50	caucasian		lung_NSC
GCT_SOFT_TISSUE	GCT	ACH-000835	soft_tissue	fibrous_tissue_and_uncertain_origin	NS	NS	malignant_fibrous_histiocytoma-pleomorphic_sarcoma	NS	NS	NS	male	29			soft_tissue
SKBR3_BREAST	SK-BR-3	ACH-000017	breast	NS	NS	NS	carcinoma	NS	NS	NS	female	43	caucasian	breast_cancer	breast
SNU16_STOMACH	SNU-16	ACH-000581	stomach	NS	NS	NS	carcinoma	undifferentiated_adenocarcinoma	NS	NS	female	33	asian		stomach
NCIH82_LUNG	NCI-H82	ACH-000355	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	41	caucasian		lung_small_cell
NCIN87_STOMACH	NCI-N87	ACH-000427	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male				stomach
U2OS_BONE	U-2 OS	ACH-000364	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	female	15	caucasian	bone_cancer	osteosarcoma
H4_CENTRAL_NERVOUS_SYSTEM	H4	ACH-000389	central_nervous_system	NS	NS	NS	glioma	NS	NS	NS	male	37	caucasian		glioma
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM-1	ACH-000081	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M4	NS	female	66	caucasian		AML
HCC1143_BREAST	HCC1143	ACH-000374	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	52	caucasian	breast_cancer	breast
T24_URINARY_TRACT	T24	ACH-000018	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS	female	81	caucasian	transitional_cell_carcinoma	urinary_tract
G401_SOFT_TISSUE	G-401	ACH-000096	soft_tissue	striated_muscle	kidney	NS	rhabdoid_tumour	NS	NS	NS	male	0.25	caucasian	rhabdoid_tumour	soft_tissue
HCC1937_BREAST	HCC1937	ACH-000223	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	24	caucasian	ductal_carcinoma	breast
HCC1569_BREAST	HCC1569	ACH-000930	breast	NS	NS	NS	carcinoma	metaplastic_carcinoma	NS	NS	female	70	african_american	metaplastic_breast_carcinoma	breast
OCUM1_STOMACH	OCUM-1	ACH-000247	stomach	NS	NS	NS	carcinoma	diffuse_adenocarcinoma	NS	NS	female	38	asian		stomach
SAOS2_BONE	Saos-2	ACH-000410	bone	NS	NS	NS	osteosarcoma	NS	NS	NS	female	11	caucasian	osteosarcoma	osteosarcoma
D283MED_CENTRAL_NERVOUS_SYSTEM	D283 Med	ACH-000055	central_nervous_system	cerebellum	NS	NS	primitive_neuroectodermal_tumour-medulloblastoma	NS	NS	NS	male	6	caucasian		medulloblastoma
SCC9_UPPER_AERODIGESTIVE_TRACT	SCC-9	ACH-000181	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	25		head_neck_cancer	upper_aerodigestive
HCC1395_BREAST	HCC1395	ACH-000699	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	43	caucasian		breast
NMCG1_CENTRAL_NERVOUS_SYSTEM	NMC-G1	ACH-000200	central_nervous_system	brain	NS	NS	glioma	NS	NS	NS					glioma
TEN_ENDOMETRIUM	TEN	ACH-000397	endometrium	NS	NS	NS	carcinoma	clear_cell_carcinoma	NS	NS	female	74	asian	Endometrial Cancer	endometrium
HS604T_FIBROBLAST	Hs 604.T	ACH-001093	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS	male	21	caucasian		lymphoma_Hodgkin
TE9_OESOPHAGUS	TE-9	ACH-000694	oesophagus	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male				esophagus
KNS42_CENTRAL_NERVOUS_SYSTEM	KNS-42	ACH-000622	central_nervous_system	brain	NS	NS	glioma	NS	NS	NS	male	16			glioma
KYSE520_OESOPHAGUS	KYSE-520	ACH-000637	oesophagus	lower_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	female	58	asian		esophagus
KYSE270_OESOPHAGUS	KYSE-270	ACH-000873	oesophagus	middle_third	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	79	asian		esophagus
JHUEM1_ENDOMETRIUM	JHUEM-1	ACH-000928	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	56	asian	Endometrial Cancer	endometrium
YH13_CENTRAL_NERVOUS_SYSTEM	YH-13	ACH-000469	central_nervous_system	brain	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	male	40			glioma
IALM_LUNG	IA-LM	ACH-000672	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male	68	asian		lung_NSC
NCIH2052_PLEURA	NCI-H2052	ACH-000153	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male	65	caucasian		mesothelioma
EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2	ACH-001064	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	female	7	african_american		lymphoma_Burkitt
SKNFI_AUTONOMIC_GANGLIA	SK-N-FI	ACH-000341	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	male	11	caucasian	neuroblastoma	neuroblastoma
SKNAS_AUTONOMIC_GANGLIA	SK-N-AS	ACH-000260	autonomic_ganglia	NS	NS	NS	neuroblastoma	NS	NS	NS	female	6	caucasian	neuroblastoma	neuroblastoma
GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GA-10	ACH-000162	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male	41	caucasian		lymphoma_Burkitt
SNU398_LIVER	SNU-398	ACH-000221	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	42	asian		liver
SNU423_LIVER	SNU-423	ACH-000493	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	40	asian	pleomorphic hepatocellular carcinoma	liver
SCC4_UPPER_AERODIGESTIVE_TRACT	SCC-4	ACH-000238	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	55			upper_aerodigestive
EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1	ACH-000877	haematopoietic_and_lymphoid_tissue	head_neck	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	female	9	african_american		lymphoma_Burkitt
HCC1187_BREAST	HCC1187	ACH-000111	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	41	caucasian	ductal_carcinoma	breast
SNU387_LIVER	SNU-387	ACH-000478	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	female	41	asian		liver
DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Daudi	ACH-000786	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male	16	african	lymphoma	lymphoma_Burkitt
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HT	ACH-000914	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	B_cell_lymphoma_unspecified	NS	NS	male	70	caucasian		lymphoma_other
MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MJ	ACH-000077	haematopoietic_and_lymphoid_tissue	skin	NS	NS	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	NS	NS	male	50	caucasian		lymphoma_other
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	JM1	ACH-000151	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	B_cell_lymphoma_unspecified	NS	NS					lymphoma_other
C2BBE1_LARGE_INTESTINE	C2BBe1	ACH-000009	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	72	caucasian		colorectal
SKES1_BONE	SK-ES-1	ACH-000087	bone	NS	NS	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS	NS	NS	male	18	caucasian	Ewing family tumor	Ewings_Sarcoma
EPLC272H_LUNG	EPLC-272H	ACH-000585	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	57	caucasian		lung_NSC
BXPC3_PANCREAS	BxPC-3	ACH-000535	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female	61			pancreas
NCIH1355_LUNG	NCI-H1355	ACH-000666	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	53	caucasian		lung_NSC
SNU5_STOMACH	SNU-5	ACH-000303	stomach	NS	NS	NS	carcinoma	undifferentiated_adenocarcinoma	NS	NS	female	33	asian		stomach
SNU475_LIVER	SNU-475	ACH-000422	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male	43	asian	hepatocellular_cancer	liver
HEC251_ENDOMETRIUM	HEC-251	ACH-000996	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		asian	Endometrial Cancer	endometrium
HCC95_LUNG	HCC-95	ACH-000454	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	65	caucasian	lung_cancer	lung_NSC
253J_URINARY_TRACT	253J	ACH-000011	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS					urinary_tract
HCC1438_LUNG	HCC-1438	ACH-000891	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	male	43			lung_NSC
253JBV_URINARY_TRACT	253J-BV	ACH-000026	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS					urinary_tract
RPMI7951_SKIN	RPMI-7951	ACH-000348	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	female	18	caucasian	melanoma	melanoma
SNU1066_UPPER_AERODIGESTIVE_TRACT	SNU-1066	ACH-000682	upper_aerodigestive_tract	larynx	glottis	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	62	asian		upper_aerodigestive
SNU1041_UPPER_AERODIGESTIVE_TRACT	SNU-1041	ACH-000618	upper_aerodigestive_tract	pharynx	NS	NS	carcinoma	NS	NS	NS					upper_aerodigestive
HCC2108_LUNG	HCC-2108	ACH-000314	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	59			lung_NSC
COLO783_SKIN	COLO-783	ACH-000812	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	female	48			melanoma
HCC1359_LUNG	HCC-1359	ACH-000901	lung	NS	NS	NS	carcinoma	large_cell_carcinoma	NS	NS	female	55	african_american	lung_cancer	lung_NSC
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR 31	ACH-000228	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male		caucasian		upper_aerodigestive
COV362_OVARY	COV362	ACH-000278	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female				ovary
COLO792_SKIN	COLO 792	ACH-000968	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	62			melanoma
COV434_OVARY	COV434	ACH-000123	ovary	NS	NS	NS	sex_cord-stromal_tumour	granulosa_cell_tumour	NS	NS	female				ovary
WM983B_SKIN	WM-983B	ACH-000765	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS					melanoma
HS751T_FIBROBLAST	Hs 751.T	ACH-000165	haematopoietic_and_lymphoid_tissue	lymph_node	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS					lymphoma_Hodgkin
LS513_LARGE_INTESTINE	LS513	ACH-000007	large_intestine	caecum	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	63	caucasian		colorectal
NCIH2110_LUNG	NCI-H2110	ACH-000929	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS					lung_NSC
CHAGOK1_LUNG	ChaGo-K-1	ACH-000867	lung	NS	NS	NS	carcinoma	NS	NS	NS	male	45			lung_NSC
DMS454_LUNG	DMS 454	ACH-000844	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male				lung_small_cell
CORL47_LUNG	COR-L47	ACH-000695	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	67	caucasian		lung_small_cell
FTC238_THYROID	FTC-238	ACH-000897	thyroid	NS	NS	NS	carcinoma	follicular_carcinoma	NS	NS	male	42			thyroid
DMS273_LUNG	DMS 273	ACH-000749	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female	50			lung_small_cell
FTC133_THYROID	FTC-133	ACH-000903	thyroid	NS	NS	NS	carcinoma	follicular_carcinoma	NS	NS	male	42			thyroid
CORL311_LUNG	COR-L311	ACH-000187	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	63			lung_small_cell
NCIH2286_LUNG	NCI-H2286	ACH-000912	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female	57	caucasian		lung_small_cell
NCIH1339_LUNG	NCI-H1339	ACH-000921	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female	49	caucasian		lung_small_cell
WM793_SKIN	WM-793	ACH-000827	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS					melanoma
A704_KIDNEY	A-704	ACH-000429	kidney	NS	NS	NS	carcinoma	renal_cell_carcinoma	NS	NS	male	78		kidney_cancer	kidney
MDAMB435S_SKIN	MDA-MB-435S	ACH-000884	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	female	31	caucasian	melanoma	melanoma
WM1799_SKIN	WM1799	ACH-000661	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS					melanoma
MEWO_SKIN	MeWo	ACH-000987	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	78	caucasian		melanoma
WM88_SKIN	WM-88	ACH-000899	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS					melanoma
NCIH2081_LUNG	NCI-H2081	ACH-000394	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female	59	caucasian		lung_small_cell
HS255T_FIBROBLAST	Hs 255.T	ACH-000199	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	46	caucasian		colorectal
NCIH1092_LUNG	NCI-H1092	ACH-000514	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	67	caucasian		lung_small_cell
SW837_LARGE_INTESTINE	SW837	ACH-000421	large_intestine	rectum	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	53	caucasian		colorectal
JHH6_LIVER	JHH-6	ACH-000217	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	female	57	asian		liver
IGR1_SKIN	IGR-1	ACH-000882	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male	42			melanoma
NCIH1105_LUNG	NCI-H1105	ACH-000780	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	73	caucasian		lung_small_cell
NCIH1436_LUNG	NCI-H1436	ACH-000830	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	39	caucasian		lung_small_cell
NCIH1876_LUNG	NCI-H1876	ACH-000586	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	59	caucasian		lung_small_cell
CORL24_LUNG	COR-L24	ACH-000382	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	71			lung_small_cell
COV644_OVARY	COV644	ACH-000608	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female				ovary
GP2D_LARGE_INTESTINE	GP2d	ACH-000982	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	71			colorectal
PECAPJ15_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ15	ACH-000619	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	45			upper_aerodigestive
CORL88_LUNG	COR-L88	ACH-000508	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	55	caucasian		lung_small_cell
CORL95_LUNG	COR-L95	ACH-000743	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	64			lung_small_cell
PECAPJ49_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ49	ACH-000735	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	57	caucasian		upper_aerodigestive
PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ34 (clone C12)	ACH-000606	upper_aerodigestive_tract	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	60			upper_aerodigestive
CORL51_LUNG	COR-L51	ACH-001047	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male	71	caucasian		lung_small_cell
RT11284_URINARY_TRACT	RT112/84	ACH-001183	urinary_tract	bladder	NS	NS	carcinoma	NS	NS	NS	female				urinary_tract
PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT	PE/CA-PJ41 (clone D2)	ACH-000732	upper_aerodigestive_tract	mouth	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	female	67			upper_aerodigestive
OV7_OVARY	OV7	ACH-000688	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female	78			ovary
HT55_LARGE_INTESTINE	HT55	ACH-000926	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS					colorectal
OAW42_OVARY	OAW42	ACH-000704	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female			ovarian_cancer	ovary
MDST8_LARGE_INTESTINE	MDST8	ACH-000935	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS					colorectal
OAW28_OVARY	OAW28	ACH-000116	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female				ovary
SUIT2_PANCREAS	SUIT-2	ACH-000652	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male	73	asian	moderately differentiated tubular adenocarcinoma	pancreas
LC1SQSF_LUNG	LC-1/sq-SF	ACH-001113	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	69	asian		lung_NSC
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI-1	ACH-000263	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M2	NS	male	7	asian		AML
SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SUP-M2	ACH-000226	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	NS	NS	female	5			lymphoma_other
SKHEP1_LIVER	SK-HEP-1	ACH-000361	liver	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	52	caucasian		liver
OVCAR8_OVARY	OVCAR-8	ACH-000696	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female	64		ovarian_cancer	ovary
NCIH2172_LUNG	NCI-H2172	ACH-000924	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	female				lung_NSC
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	Ishikawa (Heraklio) 02 ER-	ACH-000961	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	39		well differentiated endometrial adenocarcinoma	endometrium
NCIH596_LUNG	NCI-H596	ACH-000628	lung	NS	NS	NS	carcinoma	mixed_adenosquamous_carcinoma	NS	NS	male	73	caucasian		lung_NSC
NCIH650_LUNG	NCI-H650	ACH-000945	lung	NS	NS	NS	carcinoma	bronchioloalveolar_adenocarcinoma	NS	NS	male				lung_NSC
SW1573_LUNG	SW 1573	ACH-000677	lung	NS	NS	NS	carcinoma	squamous_cell_carcinoma	NS	NS	female	44	caucasian	lung_cancer	lung_NSC
OVMANA_OVARY	OVMANA	ACH-000646	ovary	NS	NS	NS	carcinoma	clear_cell_carcinoma	NS	NS	female	51	asian		ovary
SKCO1_LARGE_INTESTINE	SK-CO-1	ACH-000400	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male	65	caucasian		colorectal
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KARPAS-299	ACH-000053	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	anaplastic_large_cell_lymphoma	NS	NS	male	25		CD30+_anaplastic_large_cell_lymphoma	lymphoma_other
YAPC_PANCREAS	YAPC	ACH-000332	pancreas	NS	NS	NS	carcinoma	NS	NS	NS	male	43	asian		pancreas
HT1197_URINARY_TRACT	HT-1197	ACH-000547	urinary_tract	bladder	NS	NS	carcinoma	NS	NS	NS	male	44	caucasian		urinary_tract
A253_SALIVARY_GLAND	A-253	ACH-000740	salivary_gland	submaxillary	NS	NS	carcinoma	mucoepidermoid_carcinoma	NS	NS	male	54	caucasian		other
HCC366_LUNG	HCC-366	ACH-000840	lung	NS	NS	NS	carcinoma	mixed_adenosquamous_carcinoma	NS	NS	female	80		lung_cancer	lung_NSC
DKMG_CENTRAL_NERVOUS_SYSTEM	DK-MG	ACH-000244	central_nervous_system	parietal_lobe	NS	NS	glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	female	67			glioma
SNU349_KIDNEY	SNU-349	ACH-000907	kidney	NS	NS	NS	carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	male	68	asian		kidney
UMUC1_URINARY_TRACT	UM-UC-1	ACH-000834	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS	male		african_american		urinary_tract
NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NAMALWA	ACH-000944	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	female	3		lymphoma	lymphoma_Burkitt
NCIH292_LUNG	NCI-H292	ACH-001075	lung	NS	NS	NS	carcinoma	mucoepidermoid_carcinoma	NS	NS	female	32	african_american		lung_NSC
59M_OVARY	59M	ACH-000520	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female			ovarian_carcinoma	ovary
U118MG_CENTRAL_NERVOUS_SYSTEM	U-118 MG	ACH-000040	central_nervous_system	brain	NS	NS	glioma	astrocytoma	NS	NS				brain_cancer	glioma
VMRCLCD_LUNG	VMRC-LCD	ACH-001233	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male			lung_cancer	lung_NSC
HCC1833_LUNG	HCC-1833	ACH-000712	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female	69	caucasian	lung_cancer	lung_NSC
RH30_SOFT_TISSUE	RH-30	ACH-000833	soft_tissue	striated_muscle	NS	NS	rhabdomyosarcoma	alveolar	NS	NS	male	17	caucasian		soft_tissue
TCCSUP_URINARY_TRACT	TCCSUP	ACH-000720	urinary_tract	bladder	NS	NS	carcinoma	transitional_cell_carcinoma	NS	NS	female	67			urinary_tract
SNU601_STOMACH	SNU-601	ACH-000736	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male	34	asian		stomach
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL-33	ACH-000518	upper_aerodigestive_tract	mouth	tongue	NS	carcinoma	squamous_cell_carcinoma	NS	NS	male	69			upper_aerodigestive
